city,category,window,count,activity_ratio,z_score,trend,stability_score,action,confidence,confidence_score,reason,data_source
nyc,housing,2026-05-24 00:00:00,0,0.0,-4.182,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
nyc,infrastructure,2026-05-24 00:00:00,0,0.0,-1.133,rising,0.5,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
nyc,noise,2026-05-24 00:00:00,190,2.37,3.463,rising,1.0,DEFER,MEDIUM,0.647,"Activity elevated (2.37x baseline, z=+3.5σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
nyc,parking,2026-05-24 00:00:00,63,0.85,-0.896,stable,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-12 01:00:00,2,0.684,-0.54,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-12 01:00:00,0,0.0,-1.152,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-12 01:00:00,3,0.722,-0.554,stable,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-12 01:00:00,0,0.0,-1.33,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-12 01:00:00,0,0.0,-1.607,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-12 07:00:00,0,0.0,-1.401,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-12 07:00:00,0,0.0,-0.883,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-12 07:00:00,1,0.306,-1.163,stable,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-12 07:00:00,1,0.655,-0.392,stable,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-12 07:00:00,3,1.096,0.133,stable,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-12 13:00:00,1,0.439,-0.716,stable,0.667,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-12 13:00:00,1,0.926,-0.066,stable,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-12 13:00:00,4,1.333,0.544,rising,0.333,DEFER,LOW,0.397,"Activity elevated (1.33x baseline, z=+0.5σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,parking,2026-04-12 13:00:00,2,1.19,0.239,rising,0.667,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
